"Address","Location","Type","Binding","BindingConfig","SecurityMode","RequiresCertificate","Status"
"http://localhost:8080/UserService","Service","Service","basicHttpBinding","BasicHttp_NoSecurity","None","No","Inactive or unreachable"
"https://localhost:8443/UserServiceSecure","Service","Service","wsHttpBinding","WsHttp_WithCert","Transport","Yes","Inactive or unreachable"
"net.tcp://localhost:9001/UserServiceTcp","Service","Service","netTcpBinding","NetTcp_NoSecurity","None","No","Inactive or unreachable"
"net.pipe://localhost/UserServicePipe","Service","Service","netNamedPipeBinding","","Blank","No","Inactive or unreachable"
"mex","Service","Metadata","mexHttpBinding","","Blank","No","MEX endpoint detected"
"https://localhost:8443/PaymentService","Service","Service","wsHttpBinding","WsHttp_WithCert","Transport","Yes","Inactive or unreachable"
"net.tcp://localhost:9002/PaymentServiceTcp","Service","Service","netTcpBinding","NetTcp_WithMessage","Message","No","Inactive or unreachable"
"http://localhost:8081/PaymentService","Service","Service","basicHttpBinding","BasicHttp_Empty","Blank","No","Inactive or unreachable"
"https://localhost:9443/CustomSecureService","Service","Service","customBinding","CustomCertBinding","Blank","No","Inactive or unreachable"
"https://www.google.com/","Service","Service","basicHttpBinding","BasicHttp_Empty","Blank","No","Active (HTTP 200)"
"https://postman-echo.com/get","Service","Service","basicHttpBinding","BasicHttp_Empty","Blank","No","Active (HTTP 200)"
"https://www.google.com/","Client","Service","basicHttpBinding","BasicHttp_Empty","Blank","No","Active (HTTP 200)"
"https://postman-echo.com/get","Client","Service","basicHttpBinding","BasicHttp_NoSecurity","None","No","Active (HTTP 200)"
"net.tcp://localhost:9003/InventoryService","Client","Service","netTcpBinding","NetTcp_NoSecurity","None","No","Inactive or unreachable"
"http://intranet/legacyService","Client","Service","basicHttpBinding","","Blank","No","Inactive or unreachable"
